neurons,cell_type,cell_sex,module_zscore,participation_coefficient,region
URADL,Motor neuron,GS,-0.323372572157069,0.3046875,2
URADR,Motor neuron,GS,-0.642940761112291,0.260355029585799,2
URAVL,Motor neuron,GS,-0.270111207331199,0,1
URAVR,Motor neuron,GS,-0.802724855589902,0.197530864197531,2
ADEL,Modulatory neuron,GS,-0.690062911319687,0.595260080024623,2
ADER,Modulatory neuron,GS,-0.875637598626774,0.738813735691987,3
AIML,Modulatory neuron,GS,-0.631541444666053,0.460440214158239,2
AIMR,Modulatory neuron,GS,-0.404629280029467,0.473922902494331,2
ALA,Modulatory neuron,GS,-1.38791532678801,0.722222222222222,3
AVFL,Modulatory neuron,GS,-0.642854473173012,0.349030470914127,2
AVFR,Modulatory neuron,GS,-0.309920294942598,0.497777777777778,2
AVHL,Modulatory neuron,GS,-0.928226625941939,0.65625,3
AVHR,Modulatory neuron,GS,-0.500168396788549,0.644265887509131,3
AVKL,Modulatory neuron,GS,0.0522358379086615,0.717993079584775,3
AVKR,Modulatory neuron,GS,0.200695587754331,0.700408163265306,3
AVL,Modulatory neuron,GS,-1.61793634785512,0.56,2
CEPDL,Modulatory neuron,GS,-0.467373286551183,0.713450292397661,3
CEPDR,Modulatory neuron,GS,0.468107677150041,0.733856753725365,3
CEPVL,Modulatory neuron,GS,-0.541603161474017,0.746036011824778,3
CEPVR,Modulatory neuron,GS,0.063014495000967,0.738249053241256,3
DVC,Interneuron,GS,0.683189774752758,0.547863710113575,2
HSNL,Modulatory neuron,HS,-0.737978524095988,0.5376,2
HSNR,Modulatory neuron,HS,-1.00972838572703,0.4921875,2
PVNL,Modulatory neuron,GS,-0.452606371327061,0,1
PVNR,Modulatory neuron,GS,-0.26235826948111,0.277008310249307,2
PVQL,Modulatory neuron,GS,-0.429841742766866,0,1
PVQR,Modulatory neuron,GS,-0.480266668241663,0.237812128418549,2
RICL,Modulatory neuron,GS,-0.189279274690023,0.654984199942545,3
RICR,Modulatory neuron,GS,-0.612140808580823,0.65625,3
RID,Modulatory neuron,GS,-1.30872282963384,0,1
RIS,Modulatory neuron,GS,0.905879399521262,0.628412149173395,3
RMGL,Modulatory neuron,GS,-1.24228575859049,0.775022956841139,3
RMGR,Modulatory neuron,GS,-0.667078652360767,0.735253772290809,3
