assortavity,cpl,radius,diameter,transitivity,density,global_efficiency,mean_cc
-0.0504118138652619,2.2594982078853,3,5,0.103375471747908,0.0629672299027138,0.478075823519369,0.10932971839554
-0.0291437313139437,2.26424731182796,3,5,0.103570014517619,0.0629672299027138,0.477415727939918,0.110087086231846
-0.0210693166396676,2.26424731182796,3,4,0.103678333861261,0.0629672299027138,0.477206007851165,0.108561331384888
-0.0278008928831122,2.26171274961598,3,4,0.104415258711721,0.0629672299027138,0.477679638163506,0.112580541981126
-0.0260957785041353,2.2602790578597,3,4,0.104107274838982,0.0629672299027138,0.477873783922167,0.11132204599402
-0.00855611849869146,2.26502816180236,3,4,0.104859931527948,0.0629672299027138,0.477207074586103,0.111768409327154
-0.0452054503462284,2.26082949308756,3,4,0.104119184434921,0.0629672299027138,0.477776711042836,0.111253876386084
-0.0215359958210707,2.26099590373784,3,4,0.103151805744952,0.0629672299027138,0.477793778801838,0.110800843539675
-0.0286805607746087,2.26391449052739,3,4,0.104258314270632,0.0629672299027138,0.477256144393239,0.111368728119942
-0.0471646260424944,2.26554019457245,3,4,0.104400728469247,0.0629672299027138,0.477117468851338,0.10913226618465
-0.0463340652342852,2.26193036354327,3,4,0.103619853762835,0.0629672299027138,0.477718040621266,0.110102472203809
-0.0170086286248017,2.26374807987711,3,4,0.104527616215122,0.0629672299027138,0.477273212152241,0.110361770824441
-0.0209752659165191,2.26469534050179,3,4,0.10373611001135,0.0629672299027138,0.477234809694484,0.109060153918051
-0.0330005745288875,2.26006144393241,3,4,0.104238339507096,0.0629672299027138,0.477840715139098,0.111307001711376
-0.0536947764555581,2.25898617511521,3,5,0.10326010452042,0.0629672299027138,0.478152628434885,0.110352784221642
-0.0208692501793076,2.26697388632873,3,4,0.106304043771607,0.0629672299027138,0.476704642430443,0.11115162862172
-0.0176497046793469,2.26327444956477,3,4,0.105104239971851,0.0629672299027138,0.477299880525684,0.111105500593922
-0.0376985461157501,2.26150793650794,3,5,0.103201140373261,0.0629672299027138,0.477814900153606,0.109537374267481
-0.000992804111643,2.26712749615975,3,4,0.106324569739204,0.0629672299027138,0.476736644478578,0.109641101806304
-0.00636456490210558,2.26455453149002,3,4,0.106659306049196,0.0629672299027138,0.477156938044031,0.110981222476036
-0.0266148312594305,2.25989503328213,3,4,0.103346118994625,0.0629672299027138,0.477874850657106,0.112396155309817
