cell_name,cell_type,Gender,indegree,outdegree,degree,instrength,outstrength,strength,BC_wei,BC_wei_norm,BC_bin,BC_bin_norm,eccentricity,CC_wei,CC_bin,LE_wei,LE_bin
IL2DL,sensory,GS,3,14,17,4,87,91,0,0,52.9436870355069,0.00166165611184191,1.29072681704261,0.0168451858031475,0.294776119402985,0.0240268622234679,0.362980769230769
IL2DR,sensory,GS,1,12,13,5,115,120,6,0.000188312095913628,13.6679390946275,0.000428973042954851,1.61596638655462,0.0189061204373629,0.227272727272727,0.0248878150471938,0.321969696969697
IL2L,sensory,GS,9,12,21,15,102,117,94,0.00295022283598016,245.942017401927,0.00771897612836379,1.20666666666667,0.0119221080188734,0.195121951219512,0.0219504091834102,0.373252032520325
IL2R,sensory,GS,6,15,21,11,87,98,14,0.000439394890465131,146.404147377843,0.00459494530719486,1.21929824561404,0.011862164652727,0.273170731707317,0.0215042087167958,0.49130081300813
IL2VL,sensory,GS,1,12,13,4,103,107,11,0.000345238842508317,14.0580753023653,0.000441217604116669,1.36666666666667,0.0253427777489286,0.279220779220779,0.0378720022676207,0.511580086580086
IL2VR,sensory,GS,5,14,19,14,150,164,98,0.00307576423325592,102.643929739313,0.00322151559033686,1.33333333333333,0.0228391448303194,0.261904761904762,0.0372371953071302,0.487251984126984
OLLL,sensory,GS,11,16,27,44,174,218,614,0.0192706044818279,248.185036207088,0.00778937405709271,1.2,0.0257996689577808,0.322674418604651,0.0462485892541161,0.478968253968254
OLLR,sensory,GS,19,21,40,63,159,222,357,0.0112045697068608,565.004014518838,0.017732848362276,1.37563131313131,0.0143358721223288,0.256827048114434,0.0281220651223297,0.464357864357864
OLQDL,sensory,GS,5,10,15,62,40,102,13,0.000408009541146193,46.146043746709,0.00144830970267745,1.33333333333333,0.0130335197162816,0.191176470588235,0.0233443881946518,0.370296451914099
OLQDR,sensory,GS,10,8,18,49,28,77,15,0.000470780239784069,76.2633864281971,0.00239355302329411,1.66666666666667,0.0116783667970998,0.220394736842105,0.0212998496102828,0.426315789473684
OLQVL,sensory,GS,13,8,21,80,45,125,13,0.000408009541146193,107.025241889938,0.00335902460265953,1.55555555555556,0.0123343124627875,0.193236714975845,0.0250976451176885,0.422705314009662
