cell_name,cell_type,Gender,indegree,outdegree,degree,instrength,outstrength,strength,BC_wei,BC_wei_norm,BC_bin,BC_bin_norm,eccentricity,CC_wei,CC_bin,LE_wei,LE_bin
PVT,interneuron,GS,2,12,14,4,56,60,87,0.00289017341040462,248.415374611103,0.00825245414295074,Inf,0.00511330134469066,0.202247191011236,0.0071776925569232,0.294943820224719
RIAL,interneuron,GS,28,22,50,592,521,1113,3693.5,0.122699488406086,1802.91884479501,0.0598936563947583,Inf,0.0155434043817512,0.186314921681781,0.0399995289095758,0.399280598542013
RIAR,interneuron,GS,24,23,47,609,694,1303,7787,0.258687130423228,2600.86060457074,0.0864015880861982,Inf,0.0170651795741565,0.159345794392523,0.0388019270519816,0.4
RIBL,interneuron,GS,18,8,26,261,20,281,292,0.00970035213607069,820.472076637457,0.0272563974698511,Inf,0.00867830166344131,0.200934579439252,0.0164850421794654,0.427833407506305
RIBR,interneuron,GS,23,12,35,385,91,476,2593,0.0861404557836689,1519.05966594174,0.0504637454634821,Inf,0.0104986303195791,0.154173764906303,0.0219635742223815,0.370698466780238
RICL,interneuron,GS,11,11,22,118,97,215,287,0.0095342502159325,529.62605356375,0.0175943808904309,Inf,0.00403715135266052,0.0982532751091703,0.00990978627086195,0.269851667013239
RICR,interneuron,GS,12,16,28,121,162,283,890,0.029566141784599,990.749740787423,0.0329130868642423,Inf,0.00484296982989727,0.116,0.0109002548780842,0.266071428571429
RID,interneuron,GS,4,1,5,10,1,11,167,0.00554780413261577,259.020193360381,0.00860475029434527,Inf,0.00177464980444466,0.1,0.00177464980444466,0.1
RIFL,interneuron,GS,7,8,15,36,112,148,628,0.0208624011693575,347.143493458238,0.011532240165379,Inf,0.00932775119160304,0.213592233009709,0.0107584667954781,0.277508090614887
RIFR,interneuron,GS,7,6,13,45,36,81,0,0,259.289520262736,0.00861369743747045,Inf,0.00685587865799663,0.296052631578947,0.00882864991635236,0.166666666666667
RIGL,interneuron,GS,10,17,27,60,139,199,1081,0.0359112351338781,852.534523380477,0.0283215242635199,Inf,0.00321537195066109,0.108381502890173,0.00653381092105685,0.23059110927608
RIGR,interneuron,GS,15,11,26,96,84,180,1255,0.0416915819546874,1460.76265009917,0.0485270962095266,Inf,0.0029128570657352,0.0783699059561129,0.00414111042935112,0.116431556948798
RIH,interneuron,GS,9,28,37,79,361,440,9055,0.300810577370274,1248.98229321141,0.0414916714242047,Inf,0.00775642372627274,0.160606060606061,0.0197196666818022,0.27545197740113
RIML,interneuron,GS,17,16,33,208,167,375,4202,0.139592053684141,1198.68619665592,0.0398208157815401,Inf,0.00594311069723257,0.137931034482759,0.0137766562168534,0.334722222222222
RIMR,interneuron,GS,13,21,34,166,185,351,2186,0.0726197594844196,1109.1185330129,0.0368453435988604,Inf,0.00628486728977693,0.137837837837838,0.0155123476999833,0.354422994422994
RIPL,interneuron,GS,8,0,8,169,0,169,0,0,0,0,Inf,0.0131591427805314,0.142857142857143,0.0131591427805314,0.142857142857143
RIPR,interneuron,GS,13,0,13,209,0,209,0,0,0,0,Inf,0.0098701308187874,0.147435897435897,0.0154458177340561,0.248397435897436
RIR,interneuron,GS,5,9,14,63,46,109,1065,0.0353797089894359,415.990952335412,0.0138193791886058,Inf,0.00942716902315389,0.230337078651685,0.0124839303042719,0.324625468164794
RIS,interneuron,GS,9,18,27,22,201,223,192,0.00637831373330676,551.65245989949,0.018326106567653,Inf,0.00759665134636513,0.221739130434783,0.0144071856750694,0.235028248587571
RIVL,motorneuron,GS,3,9,12,18,96,114,170,0.00564746528469869,104.538103021558,0.00347279592789707,Inf,0.0202570657436904,0.359375,0.0243308615807675,0.424479166666667
RIVR,motorneuron,GS,15,12,27,54,102,156,203,0.00674373795761079,626.058908497399,0.0207979173642083,Inf,0.00736487417533244,0.26231884057971,0.0140687392554365,0.353732849071832
RMDDL,motorneuron,GS,12,1,13,331,36,367,41,0.00136203574513321,14.5597679352475,0.000483681082162231,Inf,0.0298550101093745,0.272727272727273,0.0458193527353869,0.467748917748918
RMDDR,motorneuron,GS,13,3,16,411,38,449,513,0.017042057006179,154.182884890224,0.00512201464654255,Inf,0.0299191157880991,0.220338983050847,0.0393790018748958,0.299081920903955
RMDL,motorneuron,GS,11,2,13,109,4,113,0,0,1.48066002624826,4.91880946863418e-05,Inf,0.0166832926397653,0.434210526315789,0.0235058139948733,0.507716049382716
RMDR,motorneuron,GS,19,14,33,177,108,285,8524.5,0.283187163643612,2081.9318460206,0.0691625754441764,Inf,0.00770050450546133,0.159615384615385,0.0152296650598303,0.38091804029304
RMDVL,motorneuron,GS,14,3,17,356,73,429,223,0.00740814563816358,397.926302680433,0.0132192645897426,Inf,0.0195637584002835,0.130597014925373,0.0211516210024892,0.166355721393035
RMDVR,motorneuron,GS,13,4,17,343,80,423,598,0.0198657896485283,531.387923439529,0.017652910884311,Inf,0.0188315848109543,0.180451127819549,0.029964932998409,0.352756892230576
RMED,motorneuron,GS,7,4,11,99,25,124,36,0.00119593382499502,45.8480749445745,0.00152309065658675,Inf,0.0050758871684962,0.172727272727273,0.00984023121182961,0.275606060606061
RMEL,motorneuron,GS,6,3,9,32,5,37,2.5,8.30509600690984e-05,44.0861624486624,0.00146455924684946,Inf,0.00433283958560338,0.314285714285714,0.00517508709664884,0.107142857142857
RMER,motorneuron,GS,12,2,14,67,5,72,333,0.0110623878812039,350.04234935601,0.0116285412715438,Inf,0.00531960630756381,0.233333333333333,0.00730994905453109,0.150252525252525
RMEV,motorneuron,GS,8,1,9,49,3,52,79,0.00262441033818351,67.5158344216737,0.00224290194743451,Inf,0.00594631312986109,0.180555555555556,0.00593187150249639,0.219907407407407
RMFL,interneuron,GS,8,0,8,25,0,25,0,0,0,0,Inf,0.00673484194774895,0.303571428571429,0.0121453489450082,0.491071428571429
RMFR,interneuron,GS,6,3,9,40,12,52,166,0.00551458374858813,208.309223969555,0.00692011241676815,Inf,0.00902398906858075,0.222222222222222,0.0159316733302524,0.413888888888889
RMGL,interneuron,GS,9,16,25,19,98,117,610,0.02026443425686,1158.42722111717,0.0384833971535836,Inf,0.00290021210310069,0.128813559322034,0.00683201390153251,0.313841807909605
RMGR,interneuron,GS,8,10,18,22,70,92,452,0.015015613580493,669.446430725984,0.0222392675146497,Inf,0.00366724677905362,0.0849673202614379,0.00528333649801341,0.127995642701525
RMHL,motorneuron,GS,13,9,22,62,24,86,189.5,0.00629526277323766,1732.20511564064,0.0575445191562236,Inf,0.00197369401701,0.101769911504425,0.00484132008105274,0.23919616519174
RMHR,motorneuron,GS,5,4,9,55,19,74,100,0.00332203840276394,162.857476058248,0.00541018789642709,Inf,0.00443491552692838,0.147058823529412,0.00589225627391173,0.198529411764706
SAADL,interneuron,GS,10,0,10,136,0,136,0,0,0,0,Inf,0.00786076793725808,0.144444444444444,0.0100610221915139,0.208703703703704
SAADR,interneuron,GS,9,0,9,121,0,121,0,0,0,0,Inf,0.0075522372671213,0.152777777777778,0.00877393168315641,0.185185185185185
SAAVL,interneuron,GS,7,5,12,85,150,235,898,0.0298319048568201,116.766869446571,0.00387904024472031,Inf,0.0120137401670582,0.203125,0.0140827833330774,0.23828125
SAAVR,interneuron,GS,10,6,16,115,128,243,1388,0.0461098930303634,100.629663094852,0.00334295605258296,Inf,0.0107810958641072,0.226495726495726,0.0146944742951116,0.322578347578348
SDQL,sensory,GS,3,3,6,26,15,41,0,0,14.285425212902,0.000474567311570726,Inf,0.0252347797999489,0.5,0.0163997943178225,0.307692307692308
SDQR,sensory,GS,4,12,16,33,155,188,1623,0.0539166832768587,313.534368625896,0.0104157321316157,Inf,0.0129238605778286,0.245762711864407,0.0164047196626869,0.137037037037037
SIADL,motorneuron,GS,5,3,8,41,25,66,69,0.00229220649790712,89.0359445884495,0.00295780827149191,Inf,0.0220504720606671,0.44,0.0265370905061096,0.54
SIADR,motorneuron,GS,11,4,15,68,42,110,564,0.0187362965915886,163.874664817236,0.00544397929762927,Inf,0.0169591301791632,0.361386138613861,0.0254139207760013,0.626237623762376
SIAVL,motorneuron,GS,11,4,15,92,15,107,0,0,132.660129858462,0.0044070204590546,Inf,0.0095223943285202,0.227722772277228,0.0125113834236871,0.316831683168317
SIAVR,motorneuron,GS,11,4,15,132,15,147,2208,0.0733506079330277,233.082426725546,0.00774308772591676,Inf,0.0103519415936499,0.137254901960784,0.0108821913861594,0.151960784313725
SIBDL,motorneuron,GS,3,4,7,44,14,58,0,0,42.3468520665829,0.00140677868801352,Inf,0.00996347697846715,0.210526315789474,0.00996347697846715,0.210526315789474
SIBDR,motorneuron,GS,4,2,6,56,12,68,0,0,7.52535133711604,0.000249995061361904,Inf,0.0145620048146828,0.307692307692308,0.0145620048146828,0.307692307692308
SIBVL,motorneuron,GS,6,2,8,45,27,72,54,0.00179390073749253,37.5099573820365,0.00124609518909164,Inf,0.0226155798052613,0.307692307692308,0.0111195198704769,0.221153846153846
SIBVR,motorneuron,GS,7,5,12,61,31,92,131,0.00435187030762076,194.395503499953,0.00645789327951474,Inf,0.005290020305891,0.119047619047619,0.00493357931544475,0.0952380952380952
