,cell_class_wit7,cell_type_wit7,Gender_wit7,cell_name,indegree_wit7,outdegree_wit7,degree_wit7,instrength_wit7,outstrength_wit7,strength_wit7,BC_wei_wit7,BC_wei_norm_wit7,BC_bin_wit7,BC_bin_norm_wit7,eccentricity_wit7,CC_wei_wit7,CC_bin_wit7,LE_wei_wit7,LE_bin_wit7,cell_class_wit8,cell_type_wit8,Gender_wit8,indegree_wit8,outdegree_wit8,degree_wit8,instrength_wit8,outstrength_wit8,strength_wit8,BC_wei_wit8,BC_wei_norm_wit8,BC_bin_wit8,BC_bin_norm_wit8,eccentricity_wit8,CC_wei_wit8,CC_bin_wit8,LE_wei_wit8,LE_bin_wit8
33,BAG,Sensory neuron,GS,BAGR,14,13,27,42,57,99,3483.33333333333,0.109325633460967,417.194046427994,0.0130937808809238,2.87735597735598,0.0166045902085854,0.160919540229885,0.0332165613340948,0.351388888888889,BAG,Sensory neuron,GS,12,12,24,39,74,113,1377.33333333333,0.0432280877952838,235.595476056534,0.0073942463139957,inf,0.0174952898214241,0.254612546125461,0.0316333196479504,0.508948339483395
34,DVA,Modulatory neuron,GS,DVA,15,28,43,26,68,94,966.333333333333,0.0303287092252003,1076.81154182997,0.0337961063909976,2.88376623376623,0.0103562893859745,0.142538975501114,0.02602465433101,0.37992894262382,DVA,Modulatory neuron,GS,9,32,41,21,59,80,300.166666666667,0.0094208356872345,756.665045771389,0.0237481967789652,inf,0.0057164650857333,0.123774509803922,0.0107356145927264,0.251158380018674
35,FLP,Sensory neuron,GS,FLPL,2,17,19,2,49,51,10.0,0.0003138534931893,71.3544179637417,0.0022394833332415,3.31068931068931,0.015050810872425,0.201183431952663,0.0176272957489442,0.23767258382643,FLP,Sensory neuron,GS,5,16,21,5,39,44,16.5,0.0005178582637624,241.47005889387,0.0075786221484486,inf,0.0071206439959207,0.181159420289855,0.0095602468353794,0.262882447665056
36,FLP,Sensory neuron,GS,FLPR,2,12,14,4,40,44,41.0,0.0012867993220764,14.6483709158632,0.0004597442381477,3.4004329004329,0.0210282175560683,0.241758241758242,0.0247465203271233,0.302106227106227,FLP,Sensory neuron,GS,4,10,14,5,27,32,2.0,6.27706986378758e-05,60.0187926182053,0.0018837107720232,inf,0.0112566958104393,0.280898876404494,0.0120435716422094,0.308988764044944
37,IL2,Sensory neuron,GS,IL2DL,1,15,16,1,47,48,0.0,0.0,9.03725586344378,0.0002836374321588,3.07424242424242,0.0159695506609166,0.205882352941176,0.0242068367176223,0.334733893557423,IL2,Sensory neuron,GS,2,13,15,2,71,73,13.0,0.0004080095411461,51.9779244423495,0.0016313453154965,inf,0.0088456832951671,0.120192307692308,0.0121102287365002,0.174278846153846
38,IL2,Sensory neuron,GS,IL2DR,1,11,12,1,51,52,3.0,9.41560479568138e-05,76.1795799567826,0.0023909227279135,3.02424242424242,0.0143360481334584,0.136363636363636,0.0161402712872936,0.164141414141414,IL2,Sensory neuron,GS,0,11,11,0,51,51,0.0,0.0,0.0,0.0,2.90833333333333,0.0084195528793733,0.1,0.0084195528793733,0.1
39,IL2,Sensory neuron,GS,IL2L,7,11,18,12,35,47,1128.0,0.035402674031762,270.972683319993,0.0085045723218879,2.94924242424242,0.0146381623232957,0.184563758389262,0.020866510517691,0.265771812080537,IL2,Sensory neuron,GS,7,14,21,14,36,50,727.5,0.0228328416295273,399.692822430542,0.0125444988522548,inf,0.0048939069500227,0.112745098039216,0.008365861269078,0.207720588235294
40,IL2,Sensory neuron,GS,IL2R,10,16,26,20,35,55,883.0,0.0277132634486222,514.898449003968,0.0161602676857689,2.99090909090909,0.0106994431621782,0.17192429022082,0.0156282965013516,0.254600420609884,IL2,Sensory neuron,GS,6,14,20,16,41,57,713.5,0.0223934467390622,156.190981425949,0.0049021085125211,inf,0.0069034771546481,0.151351351351351,0.0118277392264093,0.268153153153153
41,IL2,Sensory neuron,GS,IL2VL,2,13,15,2,45,47,0.0,0.0,11.3996979409928,0.0003577835020084,3.32424242424242,0.017324903939639,0.206730769230769,0.0204439021635495,0.244391025641026,IL2,Sensory neuron,GS,1,11,12,1,51,52,0.0,0.0,7.86427870225824,0.0002468231342118,inf,0.0074582582192332,0.106060606060606,0.0085444698046237,0.132575757575758
42,IL2,Sensory neuron,GS,IL2VR,1,14,15,1,51,52,0.0,0.0,5.06128042404091,0.0001588500541096,3.52424242424242,0.0182840735832287,0.230769230769231,0.0237113624974871,0.290464743589744,IL2,Sensory neuron,GS,2,14,16,2,57,59,1.0,3.13853493189379e-05,32.2381519831724,0.0010118056613888,inf,0.0094493474803635,0.184873949579832,0.0159339755391357,0.313375350140056
43,OLL,Sensory neuron,GS,OLLL,9,21,30,24,109,133,2293.0,0.0719666059883246,385.791310274388,0.0121081950371724,3.07927905427905,0.0152532621426659,0.145348837209302,0.0343310880573941,0.355988372093023,OLL,Sensory neuron,GS,9,18,27,30,117,147,1399.0,0.0439081036971941,269.073742992244,0.0084449734163656,inf,0.0128428625424045,0.178260869565217,0.0244484589486355,0.39494708994709
44,OLL,Sensory neuron,GS,OLLR,9,18,27,27,104,131,831.5,0.0260969179586969,332.870538363684,0.0104472581245271,3.19090909090909,0.0156859875581275,0.148414985590778,0.0352590294159955,0.378818443804035,OLL,Sensory neuron,GS,6,14,20,33,115,148,1744.0,0.0547360492122277,244.480921731424,0.0076731191303566,inf,0.01745178983035,0.203208556149733,0.0292402043816375,0.374955436720143
45,OLQ,Sensory neuron,GS,OLQDL,6,9,15,28,22,50,1074.0,0.0337078651685393,232.865057739488,0.0073085511813284,3.14924242424242,0.0167759780040346,0.191176470588235,0.0203787964069696,0.241830065359477,OLQ,Sensory neuron,GS,5,12,17,23,26,49,362.0,0.0113614964534555,240.701194896506,0.0075544910833125,inf,0.0092669687252383,0.200757575757576,0.0161005175870645,0.364583333333333
46,OLQ,Sensory neuron,GS,OLQDR,5,10,15,25,21,46,326.5,0.0102473165526332,51.1450085568238,0.0016052039594759,3.15757575757576,0.0196923103578307,0.242718446601942,0.0306381810329374,0.37831715210356,OLQ,Sensory neuron,GS,6,8,14,24,17,41,319.0,0.0100119264327412,113.400333987226,0.0035591090950733,inf,0.007149187529088,0.138888888888889,0.0118505266388942,0.242592592592593
47,OLQ,Sensory neuron,GS,OLQVL,7,7,14,29,19,48,145.0,0.004550875651246,48.3828553667574,0.0015185128167333,3.44924242424242,0.0153786784996905,0.166666666666667,0.0232282983828015,0.244907407407407,OLQ,Sensory neuron,GS,8,8,16,22,19,41,521.5,0.0163674596698261,161.466738243682,0.0050676899831674,inf,0.0048772990994957,0.126050420168067,0.0065626129263046,0.171918767507003
48,OLQ,Sensory neuron,GS,OLQVR,7,9,16,22,19,41,355.5,0.0111574916828824,93.7792916958535,0.0029432958287569,3.32424242424242,0.0115997891618081,0.182203389830508,0.0187310349635873,0.280054479418886,OLQ,Sensory neuron,GS,8,8,16,28,22,50,303.5,0.0095254535182976,187.912250271433,0.0058976916160766,inf,0.008387129023501,0.175213675213675,0.0130369558235966,0.281410256410256
49,PLN,Sensory neuron,GS,PLNL,2,6,8,3,13,16,0.0,0.0,45.188938089215,0.0014182706072818,3.68687978687979,0.0070235801122597,0.0740740740740741,0.0090996331006729,0.0925925925925926,PLN,Sensory neuron,GS,3,3,6,4,18,22,3.0,9.41560479568138e-05,83.2212428711546,0.0026119277782673,inf,0.0146510191723498,0.25,0.0165301669579993,0.285714285714286
50,PLN,Sensory neuron,GS,PLNR,3,4,7,4,15,19,20.5,0.0006433996610382,90.5654185615698,0.0028424272977706,3.36783216783217,0.0183618845829152,0.236842105263158,0.0259359503798024,0.348684210526316,PLN,Sensory neuron,GS,1,5,6,3,21,24,109.0,0.0034210030757642,65.1346740608223,0.002044274498174,inf,0.0169305781134413,0.214285714285714,0.0206335413286023,0.267857142857143
51,SAA,Sensory neuron,GS,SAADL,10,6,16,29,41,70,1580.0,0.0495888519239219,284.402015468943,0.0089260566025027,3.37735597735598,0.0304637862594007,0.264957264957265,0.0453347828548233,0.413176638176638,SAA,Sensory neuron,GS,12,6,18,34,35,69,1656.0,0.0519741384721612,283.570123436957,0.0088999473804832,inf,0.0137010020589649,0.231788079470199,0.0229735684595238,0.405794701986755
52,SAA,Sensory neuron,GS,SAADR,10,4,14,26,34,60,1272.25,0.0399300106710188,145.697015921512,0.0045727517394235,3.34326506826507,0.0172227498944453,0.188888888888889,0.0250225034149127,0.260648148148148,SAA,Sensory neuron,GS,12,9,21,34,36,70,391.0,0.0122716715837047,278.350562348817,0.0087361296324404,inf,0.0088444880788626,0.173913043478261,0.0131745253150894,0.261755233494364
