,cell_class_wit7,cell_type_wit7,Gender_wit7,cell_name,indegree_wit7,outdegree_wit7,degree_wit7,instrength_wit7,outstrength_wit7,strength_wit7,BC_wei_wit7,BC_wei_norm_wit7,BC_bin_wit7,BC_bin_norm_wit7,eccentricity_wit7,CC_wei_wit7,CC_bin_wit7,LE_wei_wit7,LE_bin_wit7,cell_class_wit8,cell_type_wit8,Gender_wit8,indegree_wit8,outdegree_wit8,degree_wit8,instrength_wit8,outstrength_wit8,strength_wit8,BC_wei_wit8,BC_wei_norm_wit8,BC_bin_wit8,BC_bin_norm_wit8,eccentricity_wit8,CC_wei_wit8,CC_bin_wit8,LE_wei_wit8,LE_bin_wit8
136,SIB,Motor neuron,GS,SIBDR,5,0,5,9,0,9,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,SIB,Motor neuron,GS,10,0,10,21,0,21,0.0,0.0,0.0,0.0,inf,0.0039703609376654,0.122222222222222,0.0049299675542795,0.162962962962963
137,SIB,Motor neuron,GS,SIBVL,5,0,5,11,0,11,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,SIB,Motor neuron,GS,8,0,8,14,0,14,0.0,0.0,0.0,0.0,inf,0.0011414289390388,0.0535714285714286,0.0011414289390388,0.0535714285714286
138,SIB,Motor neuron,GS,SIBVR,6,0,6,10,0,10,0.0,0.0,0.0,0.0,inf,0.0049687779917589,0.0666666666666667,0.0032049990451275,0.0333333333333333,SIB,Motor neuron,GS,7,0,7,14,0,14,0.0,0.0,0.0,0.0,inf,0.0013292820270135,0.0476190476190476,0.0013292820270135,0.0476190476190476
139,SMB,Motor neuron,GS,SMBDL,15,6,21,30,17,47,220.0,0.0069047768501663,412.539077624512,0.0129476830589578,3.48568931068931,0.0081422910059606,0.117788461538462,0.012773277392932,0.187179487179487,SMB,Motor neuron,GS,10,6,16,26,21,47,400.0,0.0125541397275752,143.275780903273,0.0044967604325928,inf,0.0029652982673743,0.0588235294117647,0.0036125606034719,0.0728291316526611
140,SMB,Motor neuron,GS,SMBDR,13,4,17,35,11,46,60.0,0.0018831209591362,213.819843423413,0.0067108104771644,3.62540792540793,0.0081645725091018,0.125925925925926,0.0161268871644482,0.273888888888889,SMB,Motor neuron,GS,12,9,21,27,22,49,314.0,0.0098549996861465,399.835137831551,0.0125489654708289,inf,0.0036817894179789,0.0841346153846154,0.0051132527643604,0.122195512820513
141,SMB,Motor neuron,GS,SMBVL,12,4,16,35,16,51,1005.5,0.0315579687401921,234.470079982686,0.0073589253650959,3.52021312021312,0.0070424517589653,0.0847457627118644,0.0110778471184489,0.137853107344633,SMB,Motor neuron,GS,17,4,21,56,13,69,811.5,0.0254692109723181,171.125167175126,0.0053708231490529,inf,0.0071328635731258,0.137019230769231,0.0163856617692503,0.339342948717949
142,SMB,Motor neuron,GS,SMBVR,14,4,18,46,13,59,1032.5,0.0324053731718034,141.161263855019,0.0044303955763925,3.48612221112221,0.0098716795935377,0.112582781456954,0.0165780697951193,0.206456953642384,SMB,Motor neuron,GS,13,5,18,34,18,52,645.0,0.020243550310715,411.961064415455,0.0129295419124806,inf,0.0033163539784701,0.07,0.00505897149614,0.115
143,SMD,Motor neuron,GS,SMDDL,20,6,26,93,23,116,570.0,0.0178896491117946,366.169519079395,0.0114923582662543,3.63880286380286,0.0365139128710389,0.258566978193146,0.0681799248714676,0.543795430944964,SMD,Motor neuron,GS,20,6,26,97,26,123,274.0,0.0085995857133889,520.682345467234,0.016341797296693,inf,0.0216061649025669,0.215625,0.0383764906315162,0.4353125
144,SMD,Motor neuron,GS,SMDDR,16,8,24,73,20,93,162.0,0.0050844265896679,487.689447383899,0.0153063036653035,3.79857729989309,0.0363320136779858,0.277777777777778,0.0679434645951463,0.572993827160494,SMD,Motor neuron,GS,21,7,28,106,25,131,499.0,0.01566128931015,346.914358345196,0.0108880283204192,inf,0.0224326892120425,0.254032258064516,0.0380373267904044,0.483224526369688
145,SMD,Motor neuron,GS,SMDVL,20,5,25,86,24,110,417.0,0.0130876906659971,135.488114794579,0.0042523418113922,3.67357729989309,0.0285060209765339,0.185185185185185,0.0499745538599266,0.385241301907969,SMD,Motor neuron,GS,23,3,26,96,25,121,957.0,0.0300357792982236,92.3546119249557,0.0028985817564796,inf,0.020581960995893,0.203416149068323,0.0369448945498201,0.436516563146998
146,SMD,Motor neuron,GS,SMDVR,21,6,27,85,32,117,3554.5,0.111559224154165,261.920935256292,0.0082204800469616,3.49594572094572,0.0290353754269527,0.190201729106628,0.0544701473297268,0.421974063400576,SMD,Motor neuron,GS,18,7,25,82,24,106,40.0,0.0012554139727575,411.508272216653,0.0129153308711522,inf,0.0217921741113693,0.268707482993197,0.039557663669445,0.551218820861678
147,URA,Motor neuron,GS,URADL,3,5,8,9,8,17,0.0,0.0,30.4011594158078,0.0009541510079658,5.0770313020313,0.0184045024939062,0.232142857142857,0.0168488407138849,0.1875,URA,Motor neuron,GS,3,5,8,12,16,28,0.5,1.5692674659469e-05,14.1170817109789,0.000443069540863,inf,0.0180343026884421,0.240740740740741,0.0214169605707568,0.320987654320988
148,URA,Motor neuron,GS,URADR,3,5,8,6,11,17,1.0,3.13853493189379e-05,27.4927365265468,0.0008628691396191,4.63880286380286,0.014577396781511,0.178571428571429,0.0145993246341907,0.169642857142857,URA,Motor neuron,GS,5,6,11,11,13,24,3.0,9.41560479568138e-05,70.5768911498135,0.0022150803825815,inf,0.0080305409855181,0.166666666666667,0.0100312474719358,0.219135802469136
149,URA,Motor neuron,GS,URAVL,4,7,11,10,11,21,6.0,0.0001883120959136,22.5092121670109,0.0007064594867557,3.94924242424242,0.0150771910215659,0.245454545454545,0.0208945926971238,0.328787878787879,URA,Motor neuron,GS,5,4,9,13,15,28,1.0,3.13853493189379e-05,15.7295709199769,0.0004936780779604,inf,0.0127327796255246,0.185714285714286,0.0143779900012807,0.228571428571429
150,URA,Motor neuron,GS,URAVR,5,6,11,10,14,24,6.0,0.0001883120959136,15.9306443615604,0.0004999888381633,4.68255078255078,0.0195504325329737,0.287037037037037,0.0230996221709499,0.341049382716049,URA,Motor neuron,GS,3,5,8,11,9,20,5.0,0.0001569267465946,5.92080321639145,0.0001858264771951,inf,0.0114067768468237,0.214285714285714,0.0142764947563895,0.300595238095238
151,ADE,Modulatory neuron,GS,ADEL,7,27,34,9,62,71,262.416666666667,0.0082360387504446,550.203613273304,0.0172683325991245,2.83535353535354,0.010796817926987,0.173561151079137,0.0262840728532589,0.270477642276423,ADE,Modulatory neuron,GS,6,25,31,9,57,66,410.5,0.012883685895424,459.327918789175,0.014416167183139,inf,0.0044785783884192,0.107142857142857,0.0117671030762453,0.302984428390273
152,ADE,Modulatory neuron,GS,ADER,6,32,38,12,75,87,163.583333333333,0.0051341200594229,468.819165507372,0.0147140532768618,2.81068931068931,0.0095905945376521,0.136103151862464,0.0227936153741828,0.350225133033156,ADE,Modulatory neuron,GS,6,29,35,12,62,74,579.5,0.0181878099303245,797.947911638455,0.0250438739450899,inf,0.0043635082925385,0.102542372881356,0.0098521630216111,0.237683615819209
153,AIM,Modulatory neuron,GS,AIML,2,21,23,7,49,56,493.166666666667,0.0154782081057895,279.963528606475,0.0087867531418767,2.33333333333333,0.0099535228308388,0.125,0.0159684370253579,0.209490740740741,AIM,Modulatory neuron,GS,5,15,20,8,41,49,472.0,0.0148138848785387,390.959518851586,0.0122704010687209,inf,0.0082495232314979,0.163101604278075,0.0154782395434135,0.350311942959002
154,AIM,Modulatory neuron,GS,AIMR,8,17,25,14,32,46,189.0,0.0059318310212792,237.074723253106,0.0074406730039892,2.59090909090909,0.01527920764852,0.264406779661017,0.0301311226666502,0.415796519410977,AIM,Modulatory neuron,GS,6,18,24,18,42,60,119.5,0.003750549243613,306.816444719505,0.0096295412943162,inf,0.006453265975155,0.134191176470588,0.0111092853601305,0.239185049019608
155,ALA,Modulatory neuron,GS,ALA,1,5,6,1,10,11,0.0,0.0,15.667733339899,0.0004917372839087,3.54090909090909,0.0066245463001079,0.166666666666667,0.0078634500022758,0.2,ALA,Modulatory neuron,GS,4,4,8,4,6,10,0.0,0.0,24.4365626643034,0.0007669500553732,inf,0.0029906302876682,0.0892857142857143,0.003726017678226,0.113095238095238
156,AVF,Modulatory neuron,GS,AVFL,7,11,18,10,20,30,47.0,0.00147511141799,96.3732869681487,0.0030247092765096,2.5,0.0140413149359632,0.273333333333333,0.0239241161306018,0.474111111111111,AVF,Modulatory neuron,GS,8,13,21,16,19,35,83.3333333333333,0.0026154457765781,279.804628094147,0.0087817659937903,inf,0.0069214280392435,0.198067632850242,0.0135642924861707,0.404227053140097
157,AVF,Modulatory neuron,GS,AVFR,9,15,24,16,18,34,171.083333333333,0.0053695101793149,301.922603615504,0.0094759463817558,2.83333333333333,0.0094215132566525,0.192307692307692,0.0187551166667955,0.391928309785453,AVF,Modulatory neuron,GS,10,18,28,17,30,47,430.166666666667,0.0135009310986965,699.981352434548,0.0219691592629009,inf,0.0061130374628988,0.180592991913747,0.0125170456536643,0.373764600179695
158,AVH,Modulatory neuron,GS,AVHL,6,17,23,9,28,37,180.333333333333,0.0056598246605151,186.502822878222,0.005853456245001,3.03333333333333,0.0095021741343851,0.15,0.015786731281589,0.263133333333333,AVH,Modulatory neuron,GS,7,11,18,10,24,34,166.0,0.0052099679869436,223.946036041953,0.0070286245697681,inf,0.0062906340590528,0.161073825503356,0.0108616598267892,0.279753914988814
159,AVH,Modulatory neuron,GS,AVHR,7,23,30,13,35,48,396.666666666667,0.012449521896512,607.958126598533,0.019080978174582,2.99924242424242,0.0080745176542126,0.135198135198135,0.0152384093849309,0.258663558663559,AVH,Modulatory neuron,GS,10,17,27,12,37,49,95.8333333333333,0.0030077626430648,307.95186445174,0.009665176839236,inf,0.0066820043717461,0.181556195965418,0.0135402728376675,0.402209414024976
160,AVK,Modulatory neuron,GS,AVKL,10,17,27,37,32,69,383.5,0.0120362814638127,161.311209186749,0.0050628086493863,2.97424242424242,0.016635686153989,0.190201729106628,0.0333541057255399,0.420076849183477,AVK,Modulatory neuron,GS,11,17,28,49,34,83,241.0,0.007563869185864,239.841546737078,0.0075275107255375,inf,0.0154824869607455,0.278820375335121,0.0280725109854135,0.524285075960679
161,AVK,Modulatory neuron,GS,AVKR,8,18,26,44,35,79,418.0,0.0131190760153161,234.292936828157,0.0073533656653115,3.27424242424242,0.0220118836208527,0.227414330218069,0.044412340682241,0.478868120456905,AVK,Modulatory neuron,GS,14,15,29,53,35,88,573.5,0.0179994978344109,222.541352074262,0.0069845380727594,inf,0.0128181837313125,0.22636815920398,0.0239522299208037,0.440443615257048
162,AVL,Modulatory neuron,GS,AVL,5,3,8,13,3,16,6.0,0.0001883120959136,22.4015752482376,0.0007030812644604,3.91068931068931,0.0274313398335534,0.365384615384615,0.0348383218192973,0.442307692307692,AVL,Modulatory neuron,GS,2,5,7,8,5,13,0.0,0.0,9.9947851655513,0.0003136898237885,inf,0.0079765215517974,0.2,0.0130126278176753,0.320833333333333
163,CEP,Modulatory neuron,GS,CEPDL,14,21,35,29,67,96,1541.83333333333,0.0483909777582491,1120.81944708302,0.0351773098701593,3.2221361971362,0.0126869236428476,0.150170648464164,0.0286882551442604,0.364799691207541,CEP,Modulatory neuron,GS,13,16,29,32,57,89,1557.0,0.0488669888895863,561.591122573675,0.0176257335563893,inf,0.0095910951158598,0.169172932330827,0.0205253119516238,0.400187969924812
164,CEP,Modulatory neuron,GS,CEPDR,10,23,33,30,58,88,1261.41666666667,0.0395900027200636,729.654990488731,0.0229004767587951,3.2004329004329,0.0089040785066772,0.103053435114504,0.0147554490860451,0.17970737913486,CEP,Modulatory neuron,GS,6,23,29,20,79,99,932.0,0.0292511455652501,555.028499345899,0.0174197633339369,inf,0.0067669413434435,0.101990049751244,0.0141547567139512,0.252908078654347
165,CEP,Modulatory neuron,GS,CEPVL,13,17,30,37,53,90,3574.5,0.112186931140544,650.054685568714,0.0204021933829864,3.24594572094572,0.0125518497627002,0.145348837209302,0.0258865021883657,0.314980620155039,CEP,Modulatory neuron,GS,16,20,36,32,61,93,2508.0,0.0787144560918963,819.38767000117,0.0257167682506174,inf,0.0068617322927932,0.130016051364366,0.0125839631855365,0.259818084537186
166,CEP,Modulatory neuron,GS,CEPVR,8,22,30,20,64,84,752.0,0.0236017826878413,490.265281948407,0.0153871471328983,3.28181818181818,0.0090305435968061,0.100694444444444,0.0143329431472475,0.168190586419753,CEP,Modulatory neuron,GS,13,21,34,30,67,97,1849.0,0.0580315108907162,963.453933876953,0.0302383382674331,inf,0.0053173753995201,0.104129263913824,0.0102475293912332,0.205071813285458
167,DVC,Interneuron,GS,DVC,5,19,24,7,86,93,0.0,0.0,119.532363429721,0.00375156498116,2.82180042180042,0.0246812534252904,0.23992673992674,0.0459180128655221,0.455647130647131,DVC,Interneuron,GS,4,18,22,19,86,105,297.0,0.0093214487477245,110.080062000117,0.003454901198924,inf,0.0186399452024676,0.25,0.0319582814668615,0.447733918128655
168,HSN,Modulatory neuron,HS,HSNL,10,21,31,14,26,40,146.833333333333,0.0046084154583307,531.383369282419,0.0166776526672029,2.91666666666667,0.0078735555221025,0.153347732181425,0.0189195988809058,0.38349532037437,HSN,Modulatory neuron,HS,6,17,23,13,25,38,216.166666666667,0.0067844663444437,194.777604361295,0.0061131631523851,inf,0.0073017979512955,0.22289156626506,0.0161048130400455,0.519578313253012
169,HSN,Modulatory neuron,HS,HSNR,15,18,33,23,25,48,323.333333333333,0.0101479296131233,816.117365410884,0.0256141285986719,2.76709956709957,0.008400175823328,0.146833013435701,0.0225197689495291,0.435188739603327,HSN,Modulatory neuron,HS,10,11,21,15,16,31,128.0,0.004017324712824,228.18604010702,0.007161698578464,inf,0.0064938060120921,0.216748768472906,0.0142787015066406,0.481659042927516
170,PVN,Modulatory neuron,GS,PVNL,14,13,27,20,18,38,166.583333333333,0.0052282761073797,314.058403310409,0.009856832694445,3.13578643578644,0.0095482899242811,0.186781609195402,0.020420713336994,0.415205938697318,PVN,Modulatory neuron,GS,5,6,11,14,13,27,73.5,0.0023068231749419,16.7163078521398,0.0005246471612623,inf,0.0175153058468076,0.403846153846154,0.0275898470646733,0.631410256410256
171,PVN,Modulatory neuron,GS,PVNR,11,8,19,16,12,28,111.916666666667,0.0035125436779444,317.600585246301,0.0099680053118542,3.43376623376623,0.0130680107403113,0.25,0.0245416305866138,0.473092369477912,PVN,Modulatory neuron,GS,9,10,19,15,19,34,68.5,0.0021498964283472,319.720749979689,0.0100345474226253,inf,0.0103340225538615,0.263636363636364,0.0193673560388493,0.516818181818182
172,PVQ,Modulatory neuron,GS,PVQL,7,6,13,18,17,35,448.25,0.0140684828322139,250.642701224632,0.0078665087321772,2.54487734487734,0.0125009119780828,0.155844155844156,0.0154291462563583,0.211038961038961,PVQ,Modulatory neuron,GS,7,7,14,21,25,46,307.666666666667,0.0096562258071265,104.018935861619,0.0032646706378011,inf,0.014768476788778,0.284090909090909,0.0249821064889545,0.54157196969697
173,PVQ,Modulatory neuron,GS,PVQR,3,11,14,15,24,39,173.0,0.0054296654321762,218.966220686471,0.0068723313252925,2.59090909090909,0.0199233953883559,0.292134831460674,0.0341710918941755,0.508426966292135,PVQ,Modulatory neuron,GS,6,9,15,18,29,47,214.5,0.0067321574289121,133.6650231486,0.0041951234432427,inf,0.0168072820591239,0.36,0.026951354903364,0.608666666666667
174,RIC,Modulatory neuron,GS,RICL,16,17,33,37,42,79,94.5,0.0029659155106396,436.013422798669,0.013684433582282,3.50235597735598,0.0103346710443088,0.146271510516252,0.0274225111311413,0.385707456978967,RIC,Modulatory neuron,GS,14,20,34,30,59,89,181.0,0.0056807482267277,365.838544114431,0.0114819705013631,inf,0.0072246355026189,0.171762589928058,0.0194146309856532,0.469829136690647
175,RIC,Modulatory neuron,GS,RICR,21,19,40,48,54,102,212.0,0.0066536940556148,665.647705887152,0.0208915857726179,3.46068931068931,0.0095922446486757,0.135309278350515,0.0294663211934122,0.416849226804124,RIC,Modulatory neuron,GS,15,19,34,37,40,77,94.5,0.0029659155106396,373.677565616303,0.011728000929518,inf,0.0062446992971114,0.154676258992806,0.0154245010758441,0.397526978417266
176,RID,Modulatory neuron,GS,RID,8,0,8,22,0,22,0.0,0.0,0.0,0.0,inf,0.0103477680415694,0.107142857142857,0.0103477680415694,0.107142857142857,RID,Modulatory neuron,GS,10,0,10,19,0,19,0.0,0.0,0.0,0.0,inf,0.0022509616899439,0.0555555555555556,0.0030686330897963,0.0759259259259259
177,RIS,Modulatory neuron,GS,RIS,13,22,35,19,97,116,1331.0,0.0417738999435064,1260.35022218368,0.0395565319874358,3.07424242424242,0.0159730107167781,0.162969283276451,0.0333532851672211,0.378299203640501,RIS,Modulatory neuron,GS,17,24,41,32,102,134,1533.5,0.0481294331805913,918.466961107912,0.0288264064122752,inf,0.0109458557118933,0.194204685573366,0.0232744738095499,0.46575215782984
178,RMG,Modulatory neuron,GS,RMGL,9,24,33,13,45,58,180.5,0.0056650555520682,882.974337259083,0.027712458014534,3.33333333333333,0.0110851169422605,0.191428571428571,0.0232257314760907,0.302098546402002,RMG,Modulatory neuron,GS,10,20,30,13,33,46,150.833333333333,0.0047339568556064,856.352185418426,0.0268769124793932,inf,0.0024909042903898,0.0706018518518518,0.0039393783477781,0.11880787037037
179,RMG,Modulatory neuron,GS,RMGR,12,20,32,19,31,50,283.25,0.0088899001945891,1127.69302653595,0.0353930395623611,3.03449883449883,0.0074046809591249,0.125,0.0158732828449865,0.268698783714028,RMG,Modulatory neuron,GS,7,17,24,8,27,35,111.0,0.0034837737744021,1072.71078354779,0.033667402659839,inf,0.003242039476573,0.0915750915750916,0.0055229984588276,0.16541514041514
