neurons,cell_type,cell_sex,module_zscore,participation_coefficient,region
PVZ,interneuron,MS,0.81784645738924,0.641483244100734,3
DVE,interneuron,MS,-0.668542782015291,0.56508875739645,2
DVF,interneuron,MS,0.305831841960762,0.49922520661157,2
DX1,interneuron,MS,0,0,1
DX2,interneuron,MS,0,0,1
DX3,interneuron,MS,-0.755516357865349,0.489795918367347,2
EF1,interneuron,MS,1.62434497473162,0.444728819300689,2
EF2,interneuron,MS,2.81488284842714,0.440597555454957,6
EF3,interneuron,MS,1.58025097940957,0.378311111111111,2
PDC,interneuron,MS,1.67175834545381,0.421498216409037,2
PGA,interneuron,MS,-1.00051555822793,0.197530864197531,2
CA02,motor,MS,-0.955153751608656,0,1
CA03,motor,MS,-0.922988532190686,0.597222222222222,2
CA04,motor,MS,1.86044345019432,0.0325114404753774,1
CA05,motor,MS,3.36960295607946,0.351618444790621,6
CA06,motor,MS,1.88879089466337,0.367248131007476,2
CA07,motor,MS,-0.946143065508991,0.694444444444444,3
CA08,motor,MS,-0.662965604026843,0.332409972299169,2
CA09,motor,MS,-0.729073285340061,0.675736961451247,3
CP01,motor,MS,-0.160547226046387,0.402040816326531,2
CP02,motor,MS,-0.17376876230903,0.0370238519045923,1
CP03,motor,MS,-0.266319516147535,0.211457131872357,2
CP04,motor,MS,0.0774404266811983,0.367829972225577,2
CP05,motor,MS,0.0774404266811983,0.385940571164296,2
CP06,motor,MS,-0.305984124935466,0.346030615877536,2
CP07,motor,MS,0.494399959686401,0.3075,2
CP08,motor,MS,-0.485027448602299,0.2265625,2
CP09,motor,MS,0.932564852868188,0.349852071005917,2
