,cell_name,cell_type_herm,Gender_herm,indegree_herm,outdegree_herm,degree_herm,instrength_herm,outstrength_herm,strength_herm,BC_wei_herm,BC_wei_norm_herm,BC_bin_herm,BC_bin_norm_herm,eccentricity_herm,CC_wei_herm,CC_bin_herm,LE_wei_herm,LE_bin_herm,cell_type_male,Gender_male,indegree_male,outdegree_male,degree_male,instrength_male,outstrength_male,strength_male,BC_wei_male,BC_wei_norm_male,BC_bin_male,BC_bin_norm_male,eccentricity_male,CC_wei_male,CC_bin_male,LE_wei_male,LE_bin_male
36,ALMR,sensory,GS,7,12,19,31,55,86,8.0,0.0001031432918181,77.6098651916004,0.0010006171216781,1.36322751322751,0.0029447980251017,0.234939759036145,0.0054698476313101,0.490974612736661,sensory,GS,7,8,15,53,94,147,3325.0,0.0261621502533598,314.570893922533,0.0024751431555293,inf,0.0040600806946527,0.188118811881188,0.0055212022203221,0.297194719471947
37,AVM,sensory,GS,7,22,29,40,126,166,380.5,0.0049057528171011,90.7256673490929,0.001169717997848,1.32205104263928,0.0043829209771014,0.29625,0.0084763044626279,0.578645833333333,sensory,GS,6,16,22,93,153,246,6947.0,0.0546611903188242,265.482462781571,0.0020888998739619,inf,0.0043171744129321,0.225663716814159,0.0093914113053968,0.490418246944796
38,PVM,sensory,GS,10,12,22,40,76,116,0.0,0.0,259.29548577133,0.0033430737445054,1.375,0.00839826125187,0.529279279279279,0.0105942528590753,0.643772893772894,sensory,GS,10,9,19,36,60,96,0.0,0.0,82.1979807125169,0.0006467596757665,inf,0.0087327755523863,0.561728395061728,0.0105837109536931,0.678385416666667
39,PLML,sensory,GS,10,12,22,65,129,194,626.0,0.0080709625847708,82.4573665507666,0.0010631155275878,1.35119047619048,0.0101462869259241,0.484162895927602,0.0136635244415185,0.638386123680241,sensory,GS,16,14,30,70,128,198,491.0,0.003863343090045,768.413996744824,0.0060461240419918,inf,0.0054688668545942,0.321090047393365,0.0088963379311018,0.530134281200632
40,PLMR,sensory,GS,8,12,20,51,119,170,1248.0,0.0160903535236327,111.329408760866,0.0014353602119706,1.36587301587302,0.0092306932428227,0.417582417582418,0.0144005762650095,0.597069597069597,sensory,GS,12,16,28,52,120,172,346.0,0.0027224372895225,570.143032333443,0.0044860654670116,inf,0.0040799606296407,0.277929155313351,0.0072645455409828,0.486080835603996
41,FLPL,sensory,GS,11,19,30,41,257,298,1258.0,0.0162192826384054,382.34342263814,0.0049295199019898,1.24702380952381,0.006865197938923,0.244705882352941,0.0110946956338229,0.483610644257703,sensory,GS,4,17,21,29,151,180,299.0,0.0023526264438359,239.006730884063,0.0018805804526175,inf,0.0051677324599948,0.202898550724638,0.0078030088919354,0.310668276972625
42,FLPR,sensory,GS,10,21,31,60,219,279,3056.0,0.0394007374745365,251.38432680689,0.0032410758722942,1.28124326653738,0.0084539386479265,0.385964912280702,0.0140528317743143,0.667945906432749,sensory,GS,4,8,12,15,47,62,0.0,0.0,56.0849773264237,0.0004412943169233,inf,0.0083214263786704,0.5,0.0117653219809465,0.590697674418605
43,DVA,sensory,GS,42,59,101,234,246,480,3386.5,0.0436618447177742,3020.71583660649,0.0389458218793545,1.31358543417367,0.002065057779655,0.145858223815213,0.0068065898417421,0.515181534581176,sensory,GS,38,45,83,288,279,567,6854.0,0.0539294369433167,5146.81747591788,0.0404967856034832,inf,0.0029936945735812,0.188,0.0085753067704997,0.457650838113023
44,PVDL,sensory,GS,13,17,30,348,382,730,237.0,0.0030556200201129,226.520598688079,0.0029205100266635,1.25649350649351,0.0075079090507227,0.290588235294118,0.0136963338583222,0.563941176470588,sensory,GS,11,15,26,346,390,736,349.0,0.0027460422371195,305.925416831563,0.0024071178109681,inf,0.0106429305875349,0.359621451104101,0.0194137333356837,0.636172450052576
45,PVDR,sensory,GS,9,17,26,357,385,742,739.0,0.0095278615817023,328.075021438126,0.0042298422093051,1.25952380952381,0.0098911257092755,0.28391167192429,0.0179334604526022,0.590667718191378,sensory,GS,11,17,28,364,385,749,797.0,0.0062710477449406,404.729821918129,0.003184542079109,inf,0.0094237444614776,0.268918918918919,0.0172822671296671,0.548423423423423
46,ADEL,sensory,GS,14,40,54,57,140,197,1228.0,0.0158324952940873,752.429190438619,0.0097010029452388,1.33730158730159,0.0018004006311951,0.175599435825106,0.005119534044422,0.454382293252156,sensory,GS,3,10,13,9,43,52,333.0,0.0026201491832688,215.388013594511,0.0016947409246412,inf,0.0037016943545904,0.289473684210526,0.0054843287587949,0.412280701754386
47,ADER,sensory,GS,16,29,45,54,103,157,422.0,0.0054408086434078,723.285412764824,0.0093252547995774,1.36769480519481,0.0019294162007078,0.172131147540984,0.0048299307817412,0.464071038251366,sensory,GS,3,7,10,4,28,32,0.0,0.0,46.8210295812552,0.0003684026499012,inf,0.0029952471609977,0.273809523809524,0.0028680868352561,0.226190476190476
48,PDEL,sensory,GS,13,11,24,112,80,192,351.0,0.0045254119285217,140.940480460539,0.0018171331381416,1.40580628803245,0.0094374383195353,0.449056603773585,0.0123392613993907,0.622012578616352,sensory,GS,11,14,25,102,102,204,270.0,0.0021244452837314,103.194231626966,0.0008119648099562,inf,0.0087739805676258,0.448275862068966,0.0123340715793332,0.69683908045977
49,PDER,sensory,GS,15,14,29,120,95,215,1318.5,0.0169993037827802,254.307091747624,0.003278758821944,1.37132352941176,0.0073674002676346,0.38295165394402,0.0111644182883692,0.632527565733673,sensory,GS,15,18,33,104,130,234,736.5,0.0057950146350675,236.728581314123,0.0018626552522119,inf,0.0065491456885404,0.38252427184466,0.0104993459499634,0.577961736571008
50,PHAL,sensory,GS,6,14,20,34,80,114,2.0,2.57858229545396e-05,68.4599275421089,0.0008826477855407,1.35250626566416,0.0043115650145733,0.331521739130435,0.0077987572736382,0.632246376811594,sensory,GS,16,24,40,153,397,550,5200.0,0.040915242501495,747.691119761419,0.0058830699002409,inf,0.0073735161642635,0.2911227154047,0.0151750805726863,0.575446040034813
51,PHAR,sensory,GS,9,16,25,52,88,140,793.0,0.0102240788014749,141.571596050306,0.0018252700555723,1.36750184569952,0.0040188431971141,0.311643835616438,0.0065859151937024,0.533961187214612,sensory,GS,13,29,42,197,486,683,6851.0,0.0539058319957196,212.195491551981,0.0016696211528025,inf,0.0093406285496043,0.331566548881037,0.0182158176094116,0.643796623478602
52,PHBL,sensory,GS,12,16,28,46,201,247,0.0,0.0,159.855475517015,0.0020610024949977,1.25560224089636,0.0073392306743979,0.422972972972973,0.0107301350187066,0.681531531531531,sensory,GS,8,19,27,71,215,286,65.0,0.0005114405312686,48.2910153501583,0.000379968962249,inf,0.0101881846857844,0.401449275362319,0.0168476675652956,0.679951690821256
53,PHBR,sensory,GS,8,14,22,54,185,239,743.5,0.00958587968335,30.9705320556315,0.0003993003281972,1.25250626566416,0.0107966826623275,0.453333333333333,0.015834316395237,0.716666666666667,sensory,GS,13,21,34,146,236,382,1283.0,0.0100950492556573,116.419505623751,0.000916025443173,inf,0.0109689770050666,0.384335154826958,0.0180740533020718,0.663479052823315
54,PHCL,sensory,GS,7,12,19,14,46,60,0.0,0.0,121.454452494179,0.0015659015045277,1.396918767507,0.0034968524472685,0.340361445783133,0.0057556652305364,0.596184738955823,sensory,GS,28,33,61,568,415,983,4039.0,0.0317801277814497,449.38277889785,0.0035358856489617,inf,0.0101767021796129,0.29453943739658,0.0190361937209038,0.589945919370698
