,cell_name,cell_type_cook,Gender_cook,indegree_cook,outdegree_cook,degree_cook,instrength_cook,outstrength_cook,strength_cook,BC_wei_cook,BC_wei_norm_cook,BC_bin_cook,BC_bin_norm_cook,eccentricity_cook,CC_wei_cook,CC_bin_cook,LE_wei_cook,LE_bin_cook,cell_class,cell_type_wit8,Gender_wit8,indegree_wit8,outdegree_wit8,degree_wit8,instrength_wit8,outstrength_wit8,strength_wit8,BC_wei_wit8,BC_wei_norm_wit8,BC_bin_wit8,BC_bin_norm_wit8,eccentricity_wit8,CC_wei_wit8,CC_bin_wit8,LE_wei_wit8,LE_bin_wit8
20,AIZL,interneuron,GS,23,19,42,216,247,463,4293.0,0.1347373046262,503.355864939684,0.0157979996528681,1.21190476190476,0.0175639990444297,0.202464788732394,0.039382494437444,0.491950312989046,AIZ,Interneuron,GS,19,20,39,94,132,226,4029.5,0.12646726508066,903.891162218534,0.0283689398725295,inf,0.0127977631964295,0.16508152173913,0.0282980788648148,0.397780797101449
21,AIZR,interneuron,GS,18,16,34,206,187,393,2375.0,0.0745402046324776,357.788890575983,0.0112293293131625,1.23774509803922,0.0217274636779854,0.232851985559567,0.0460365198788725,0.526594464500602,AIZ,Interneuron,GS,14,17,31,73,111,184,3660.0,0.114870378507313,544.768000759691,0.0170977340016223,inf,0.0144207233757566,0.195652173913043,0.0324167287686483,0.453242753623188
22,ALA,interneuron,GS,5,6,11,12,22,34,81.0,0.0025422132948339,82.1349808169237,0.0025778350642434,1.5171568627451,0.0071804983458097,0.175925925925926,0.0106255232762208,0.257561728395062,ALA,Modulatory neuron,GS,4,4,8,4,6,10,0.0,0.0,24.4365626643034,0.0007669500553732,inf,0.0029906302876682,0.0892857142857143,0.003726017678226,0.113095238095238
23,ALML,sensory,GS,12,16,28,20,58,78,157.0,0.0049274998430732,264.383421490798,0.0082977660376246,1.4493746993747,0.0090017539107527,0.276280323450135,0.0191444948641428,0.425291088222123,ALM,Sensory neuron,GS,4,9,13,6,32,38,204.0,0.0064026112610633,154.549826620213,0.0048506002956566,inf,0.0075636120289671,0.177631578947368,0.0121903072459966,0.323026315789474
24,ALMR,sensory,GS,4,8,12,8,32,40,12.0,0.0003766241918272,23.7458137954159,0.0007452706608315,1.43952702702703,0.0057290104340925,0.207692307692308,0.010774197325306,0.358974358974359,ALM,Sensory neuron,GS,5,9,14,9,30,39,717.0,0.0225032954616785,284.185189063372,0.0089192514300223,inf,0.0071302957648624,0.160919540229885,0.0084402192737305,0.191091954022989
25,ALNL,sensory,GS,4,8,12,14,21,35,0.0,0.0,31.6966700591455,0.0009948110620534,1.36363636363636,0.0134624092760678,0.3125,0.021227221711244,0.489583333333333,ALN,Sensory neuron,GS,2,6,8,4,18,22,23.0,0.0007218630343355,54.3215576709565,0.0017049010630518,inf,0.0096682269451713,0.211538461538462,0.0113228611347314,0.25
26,ALNR,sensory,GS,9,7,16,23,25,48,0.0,0.0,116.903351392553,0.0036690525200098,1.4344246031746,0.0113944643094621,0.21304347826087,0.016476589179552,0.311304347826087,ALN,Sensory neuron,GS,3,6,9,4,18,22,2.0,6.27706986378758e-05,60.4112426226538,0.0018960279525031,inf,0.0071551483965547,0.114285714285714,0.0091656321297414,0.152380952380952
27,AQR,sensory,GS,9,19,28,32,84,116,380.0,0.0119264327411964,112.772690268064,0.0035394102776995,1.4047619047619,0.0192509492880918,0.347708894878706,0.0348032961549425,0.637241689128481,AQR,Sensory neuron,GS,9,19,28,18,74,92,1115.5,0.0350103571652753,368.273369939133,0.0115583883604021,inf,0.0110725357385436,0.17379679144385,0.0172066402107662,0.307499363381716
28,ASEL,sensory,GS,13,17,30,37,129,166,352.0,0.0110476429602661,302.550633076917,0.0094956573057848,1.25808013503909,0.0184335899700089,0.26518691588785,0.0323727032512163,0.501947040498442,ASE,Sensory neuron,GS,5,15,20,9,51,60,101.5,0.0031856129558722,115.837664822973,0.003635605574759,inf,0.0144711273267023,0.262032085561497,0.0247923071612879,0.477361853832442
29,ASER,sensory,GS,21,17,38,78,115,193,1265.0,0.0397024668884565,344.109529824011,0.0107999977975021,1.23585992907801,0.0162607639353926,0.276086956521739,0.0335052915696004,0.57719806763285,ASE,Sensory neuron,GS,11,11,22,28,71,99,133.0,0.0041742514594187,186.443963906038,0.0058516089355984,inf,0.017548392448185,0.251101321585903,0.0347994444474251,0.516336270190896
30,ASGL,sensory,GS,7,4,11,17,67,84,5.0,0.0001569267465946,78.8012643666305,0.0024732052089206,1.27650103519669,0.0282791757403916,0.330188679245283,0.0324499226438353,0.405660377358491,ASG,Sensory neuron,GS,8,6,14,18,16,34,33.0,0.0010357165275249,181.965564707478,0.005711052812362,inf,0.0178752638201423,0.369318181818182,0.0271973649651256,0.598484848484849
31,ASGR,sensory,GS,11,4,15,26,75,101,0.0,0.0,20.0947096612937,0.0006306794821823,1.2545208025183,0.0271547052453296,0.407766990291262,0.035828042529335,0.632281553398058,ASG,Sensory neuron,GS,4,2,6,14,13,27,0.0,0.0,2.50540465587654,7.86330003099787e-05,inf,0.0317936098364258,0.357142857142857,0.034913063917814,0.392857142857143
32,ASHL,sensory,GS,10,20,30,22,141,163,124.0,0.0038917833155483,172.059130786161,0.0054001359232364,1.29642857142857,0.0180748081895256,0.294871794871795,0.0332159077008226,0.569017094017094,ASH,Sensory neuron,GS,8,23,31,17,83,100,681.666666666667,0.0213943464524094,322.266538756904,0.0101144478926905,inf,0.0093545141316985,0.183695652173913,0.0178986157425154,0.390971790890269
33,ASHR,sensory,GS,18,21,39,40,142,182,626.0,0.0196472286736551,313.196048344816,0.009829767382613,1.27062724509533,0.0156691171730001,0.309426229508197,0.0309248632292877,0.565742147922999,ASH,Sensory neuron,GS,6,24,30,10,88,98,173.5,0.0054453581068357,357.351738635497,0.0112156091468049,inf,0.0069388200636349,0.129370629370629,0.0135441746916259,0.279778554778555
34,ASIL,sensory,GS,5,17,22,17,43,60,29.0,0.0009101751302492,77.3861629810648,0.0024287917576129,1.36085992907801,0.0108856737709287,0.234649122807018,0.0202983467406215,0.470102339181286,ASI,Sensory neuron,GS,3,11,14,3,38,41,11.0,0.0003452388425083,70.6009256922377,0.0022158347150912,inf,0.0190727866858724,0.275280898876405,0.0299299328822872,0.478932584269663
35,ASIR,sensory,GS,4,12,16,6,27,33,0.0,0.0,82.0707473848728,0.0025758190755405,1.46016548463357,0.0184695712849173,0.432203389830508,0.0257213363525797,0.642302259887006,ASI,Sensory neuron,GS,4,9,13,4,31,35,0.0,0.0,51.5971388066824,0.0016193942253054,inf,0.0224423501516968,0.361842105263158,0.032855074358844,0.581140350877193
36,ASJL,sensory,GS,7,7,14,13,53,66,208.0,0.006528152658339,196.942286429419,0.0061811024552576,1.37257799671593,0.0132883249549595,0.241573033707865,0.0208426985097454,0.44063670411985,ASJ,Sensory neuron,GS,4,4,8,8,20,28,20.0,0.0006277069863787,59.8520819069219,0.0018784784981144,inf,0.022510248914477,0.388888888888889,0.0318973703415907,0.597222222222222
37,ASJR,sensory,GS,3,3,6,10,32,42,149.0,0.0046764170485217,20.8144884164804,0.0006532699898462,1.34681772128581,0.0283965803229533,0.533333333333333,0.0360250969988882,0.638888888888889,ASJ,Sensory neuron,GS,1,4,5,1,19,20,2.0,6.27706986378758e-05,11.268668959357,0.0003536711116488,inf,0.0216053931551343,0.35,0.0228737270041384,0.4
38,ASKL,sensory,GS,9,5,14,50,48,98,163.0,0.0051158119389868,28.3552057304014,0.0008899380368589,1.28924466338259,0.0355154206520953,0.385057471264368,0.0524915937540948,0.626436781609195,ASK,Sensory neuron,GS,8,12,20,27,43,70,652.5,0.020478940430607,438.830571469571,0.0137728507774016,inf,0.0145724592685546,0.202702702702703,0.023060866754696,0.371126126126126
39,ASKR,sensory,GS,7,12,19,27,55,82,242.0,0.0075952545351829,112.486989070281,0.0035304434458063,1.26348438795247,0.0153554151735576,0.30952380952381,0.0260145202811861,0.558730158730159,ASK,Sensory neuron,GS,7,12,19,19,60,79,145.0,0.004550875651246,150.321197613566,0.0047178832971428,inf,0.0165249396861903,0.306060606060606,0.0288952093289247,0.568636363636363
40,AUAL,interneuron,GS,8,12,20,50,89,139,176.0,0.005523821480133,69.7740208699223,0.0021898820183893,1.35818135764944,0.027500712265482,0.359459459459459,0.0416473067522624,0.587387387387387,AUA,Sensory neuron,GS,9,9,18,27,63,90,509.333333333333,0.0159856045864457,211.219388789667,0.0066291943000962,inf,0.0186468985877464,0.26510067114094,0.0289045484755567,0.457046979865772
41,AUAR,interneuron,GS,10,10,20,51,80,131,189.0,0.0059318310212792,154.940371478127,0.004862857682447,1.35722610722611,0.0254015009313012,0.364130434782609,0.0381579211128742,0.593478260869565,AUA,Sensory neuron,GS,10,6,16,33,57,90,122.0,0.0038290126169104,157.014619606643,0.0049279586845346,inf,0.0189231364903065,0.252136752136752,0.0298712203740947,0.427991452991453
42,AVAL,interneuron,GS,51,10,61,479,63,542,1030.0,0.0323269097985061,415.926382312657,0.0130539947998449,1.33333333333333,0.0174754709440814,0.190384615384615,0.0405125563130327,0.483818681318681,AVA,Interneuron,GS,35,0,35,157,0,157,0.0,0.0,0.0,0.0,inf,0.0063492014607294,0.115126050420168,0.0206835724228915,0.368887555022009
43,AVAR,interneuron,GS,43,12,55,454,76,530,2284.5,0.0716998305191137,342.462123576125,0.010748293376942,1.32380952380952,0.0217880824974533,0.234735413839891,0.0463882046314219,0.544909381663113,AVA,Interneuron,GS,32,0,32,152,0,152,0.0,0.0,0.0,0.0,inf,0.0070398627440442,0.122983870967742,0.0220656469786172,0.383611751152074
44,AVBL,interneuron,GS,43,13,56,332,47,379,495.333333333333,0.0155462096959806,480.679050621457,0.0150862799140499,1.3952380952381,0.0149356330769086,0.216525146962769,0.0347213020490817,0.532669279338123,AVB,Interneuron,GS,29,0,29,139,0,139,0.0,0.0,0.0,0.0,inf,0.0079431746648361,0.112068965517241,0.0220388068248805,0.345047501759324
45,AVBR,interneuron,GS,43,8,51,329,36,365,248.666666666667,0.0078044901973092,241.476026473922,0.0075788094430331,1.3952380952381,0.0151570945182284,0.202596380802518,0.0348184827435541,0.519603986362444,AVB,Interneuron,GS,28,0,28,139,0,139,0.0,0.0,0.0,0.0,inf,0.0078802057578006,0.126984126984127,0.0205856863420557,0.342564247921391
