cell_class,cell_type,Gender,cell_name,indegree,outdegree,degree,instrength,outstrength,strength,BC_wei,BC_wei_norm,BC_bin,BC_bin_norm,eccentricity,CC_wei,CC_bin,LE_wei,LE_bin
IL2,Sensory neuron,GS,IL2DL,1,15,16,1,47,48,0,0,9.03725586344378,0.000283637432158803,3.07424242424242,0.0159695506609166,0.205882352941176,0.0242068367176223,0.334733893557423
IL2,Sensory neuron,GS,IL2DR,1,11,12,1,51,52,3,9.41560479568138e-05,76.1795799567826,0.00239092272791358,3.02424242424242,0.0143360481334584,0.136363636363636,0.0161402712872936,0.164141414141414
IL2,Sensory neuron,GS,IL2L,7,11,18,12,35,47,1128,0.035402674031762,270.972683319993,0.00850457232188791,2.94924242424242,0.0146381623232957,0.184563758389262,0.020866510517691,0.265771812080537
IL2,Sensory neuron,GS,IL2R,10,16,26,20,35,55,883,0.0277132634486222,514.898449003968,0.0161602676857689,2.99090909090909,0.0106994431621782,0.17192429022082,0.0156282965013516,0.254600420609884
IL2,Sensory neuron,GS,IL2VL,2,13,15,2,45,47,0,0,11.3996979409928,0.000357783502008437,3.32424242424242,0.017324903939639,0.206730769230769,0.0204439021635495,0.244391025641026
IL2,Sensory neuron,GS,IL2VR,1,14,15,1,51,52,0,0,5.06128042404091,0.000158850054109626,3.52424242424242,0.0182840735832287,0.230769230769231,0.0237113624974871,0.290464743589744
OLL,Sensory neuron,GS,OLLL,9,21,30,24,109,133,2293,0.0719666059883246,385.791310274388,0.0121081950371724,3.07927905427905,0.0152532621426659,0.145348837209302,0.0343310880573941,0.355988372093023
OLL,Sensory neuron,GS,OLLR,9,18,27,27,104,131,831.5,0.0260969179586969,332.870538363684,0.0104472581245271,3.19090909090909,0.0156859875581275,0.148414985590778,0.0352590294159955,0.378818443804035
OLQ,Sensory neuron,GS,OLQDL,6,9,15,28,22,50,1074,0.0337078651685393,232.865057739488,0.00730855118132849,3.14924242424242,0.0167759780040346,0.191176470588235,0.0203787964069696,0.241830065359477
OLQ,Sensory neuron,GS,OLQDR,5,10,15,25,21,46,326.5,0.0102473165526332,51.1450085568238,0.00160520395947599,3.15757575757576,0.0196923103578307,0.242718446601942,0.0306381810329374,0.37831715210356
OLQ,Sensory neuron,GS,OLQVL,7,7,14,29,19,48,145,0.004550875651246,48.3828553667574,0.00151851281673333,3.44924242424242,0.0153786784996905,0.166666666666667,0.0232282983828015,0.244907407407407
OLQ,Sensory neuron,GS,OLQVR,7,9,16,22,19,41,355.5,0.0111574916828824,93.7792916958535,0.00294329582875694,3.32424242424242,0.0115997891618081,0.182203389830508,0.0187310349635873,0.280054479418886
PLN,Sensory neuron,GS,PLNL,2,6,8,3,13,16,0,0,45.188938089215,0.00141827060728187,3.68687978687979,0.0070235801122597,0.0740740740740741,0.00909963310067295,0.0925925925925926
PLN,Sensory neuron,GS,PLNR,3,4,7,4,15,19,20.5,0.000643399661038227,90.5654185615698,0.00284242729777069,3.36783216783217,0.0183618845829152,0.236842105263158,0.0259359503798024,0.348684210526316
SAA,Sensory neuron,GS,SAADL,10,6,16,29,41,70,1580,0.0495888519239219,284.402015468943,0.00892605660250277,3.37735597735598,0.0304637862594007,0.264957264957265,0.0453347828548233,0.413176638176638
SAA,Sensory neuron,GS,SAADR,10,4,14,26,34,60,1272.25,0.0399300106710188,145.697015921512,0.00457275173942351,3.34326506826507,0.0172227498944453,0.188888888888889,0.0250225034149127,0.260648148148148
SAA,Sensory neuron,GS,SAAVL,8,5,13,27,41,68,335,0.0105140920218442,93.5673498731008,0.00293664396061455,3.42540792540793,0.0221995550615596,0.197368421052632,0.0321082372457145,0.280701754385965
